item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q7114528	Owen John Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q3887735	Owen
http://www.wikidata.org/entity/Q7155038	Pauline Jarman				http://www.wikidata.org/entity/Q18009833	Pauline
http://www.wikidata.org/entity/Q7172838	Peter Black		http://www.wikidata.org/entity/Q2662465	Black	http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7172838	Peter Black		http://www.wikidata.org/entity/Q2662465	Black	http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7175376	Peter Law				http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7175376	Peter Law				http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7175376	Peter Law				http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7176650	Peter Rogers		http://www.wikidata.org/entity/Q16471355	Rogers	http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7182555	Phil Williams		http://www.wikidata.org/entity/Q1688722	Williams	http://www.wikidata.org/entity/Q19685923	Phil
http://www.wikidata.org/entity/Q7321239	Rhodri Glyn Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q7321239	Rhodri Glyn Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q7325461	Richard Edwards		http://www.wikidata.org/entity/Q2691159	Edwards	http://www.wikidata.org/entity/Q1249148	Richard
http://www.wikidata.org/entity/Q7356340	Rod Richards		http://www.wikidata.org/entity/Q608991	Richards	http://www.wikidata.org/entity/Q19819742	Rod
http://www.wikidata.org/entity/Q7356340	Rod Richards		http://www.wikidata.org/entity/Q608991	Richards	http://www.wikidata.org/entity/Q19819742	Rod
http://www.wikidata.org/entity/Q7368324	Rosemary Butler		http://www.wikidata.org/entity/Q2664624	Butler	http://www.wikidata.org/entity/Q1428410	Rosemary
http://www.wikidata.org/entity/Q7417378	Sandy Mewies				http://www.wikidata.org/entity/Q1413008	Sandy
http://www.wikidata.org/entity/Q7634083	Sue Essex				http://www.wikidata.org/entity/Q16281769	Sue
http://www.wikidata.org/entity/Q7816884	Tom Middlehurst				http://www.wikidata.org/entity/Q3354498	Tom
http://www.wikidata.org/entity/Q7909090	Val Feld		http://www.wikidata.org/entity/Q21491579	Feld	http://www.wikidata.org/entity/Q21074392	Val
http://www.wikidata.org/entity/Q7909111	Val Lloyd		http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q1068242	Valerie
